index,bitstring,frequency,objective,is_feasible,assign_0,assign_1,assign_2,assign_3,capacity_0,capacity_1
392,101101100100,0.0006,25.0,False,True,True,False,True,True,True
393,100101010010,0.0006,18.0,False,True,True,False,False,True,True
394,101101110111,0.0006,33.0,False,True,True,False,False,True,True
395,111101011110,0.0006,32.0,False,True,False,True,False,False,True
396,111100001000,0.0006,21.0,False,True,True,True,True,False,True
397,001111111110,0.0006,35.0,False,True,True,False,False,True,False
398,110110010101,0.0006,28.0,False,False,True,False,False,True,True
399,100010011111,0.0006,18.0,False,False,False,False,True,True,True
400,111101001100,0.0006,24.0,False,True,False,True,True,False,True
401,001100001110,0.0006,10.0,False,False,False,True,True,True,True
402,001000100110,0.00059,15.0,False,False,False,False,False,True,True
403,000111101100,0.00059,20.0,True,True,True,True,True,True,True
404,001101101101,0.00059,21.0,False,False,True,False,True,True,True
405,110001001000,0.00059,14.0,False,True,False,False,False,True,True
406,110111101100,0.00059,31.0,False,False,False,True,True,True,True
407,000000011110,0.00059,8.0,False,False,False,False,True,True,True
408,011110010010,0.00059,31.0,False,True,True,True,False,True,True
409,100000011001,0.00059,12.0,False,True,False,False,True,True,True
410,110010100011,0.00059,25.0,False,False,True,True,False,True,True
411,011000100001,0.00059,22.0,False,False,True,False,False,True,True
412,010010010011,0.00059,21.0,False,True,True,False,True,True,True
413,110111100000,0.00059,31.0,False,False,False,True,True,True,True
414,111110001000,0.00059,27.0,False,False,True,True,True,False,True
415,010001101001,0.00059,18.0,False,False,False,True,False,True,True
416,100011110011,0.00059,29.0,False,False,True,True,True,True,False
417,001010010111,0.00059,21.0,False,True,False,True,True,True,True
418,011010101000,0.00058,28.0,False,True,True,False,False,True,True
419,100101010111,0.00058,18.0,False,True,True,False,False,True,True
420,010110100101,0.00058,24.0,True,True,True,True,True,True,True
421,101111000100,0.00058,23.0,False,False,True,True,True,True,True
422,001010110000,0.00058,29.0,False,True,False,False,True,True,True
423,001110100010,0.00058,24.0,False,True,False,False,True,True,True
424,111110111110,0.00058,43.0,False,False,True,False,False,False,True
425,000111011111,0.00058,20.0,False,True,True,False,False,True,True
